"date","field","value","ticker"
NA,NA,NA,NA
2018-03-16,"CUR_MKT_CAP",381967328,"NKY INDEX"
2018-03-23,"CUR_MKT_CAP",366963264,"NKY INDEX"
2018-03-30,"CUR_MKT_CAP",377052960,"NKY INDEX"
2018-04-06,"CUR_MKT_CAP",378259424,"NKY INDEX"
2018-04-13,"CUR_MKT_CAP",382070176,"NKY INDEX"
2018-04-20,"CUR_MKT_CAP",387189088,"NKY INDEX"
2018-04-27,"CUR_MKT_CAP",393471744,"NKY INDEX"
2018-05-04,"CUR_MKT_CAP",391398784,"NKY INDEX"
2018-05-11,"CUR_MKT_CAP",393207776,"NKY INDEX"
